ma_hop_dong;ngay_lam_hop_dong;ngay_ket_thuc;tien_dat_coc;ma_nhan_vien;ma_khach_hang;ma_dich_vu
1;2020-12-08 00:00:00;2020-12-08 00:00:00;0,00;3;1;3
2;2020-07-14 00:00:00;2020-07-21 00:00:00;200000,00;7;3;1
3;2021-03-15 00:00:00;2021-03-17 00:00:00;50000,00;3;4;2
4;2021-01-14 00:00:00;2021-01-18 00:00:00;100000,00;7;5;5
5;2021-07-14 00:00:00;2021-07-15 00:00:00;0,00;7;2;6
6;2021-06-01 00:00:00;2021-06-03 00:00:00;0,00;7;7;6
7;2021-09-02 00:00:00;2021-09-05 00:00:00;100000,00;7;4;4
8;2021-06-17 00:00:00;2021-06-18 00:00:00;150000,00;3;4;1
9;2020-11-19 00:00:00;2020-11-19 00:00:00;0,00;3;4;3
10;2021-04-12 00:00:00;2021-04-14 00:00:00;0,00;10;3;5
11;2021-04-25 00:00:00;2021-04-25 00:00:00;0,00;2;2;1
12;2021-05-25 00:00:00;2021-05-27 00:00:00;0,00;7;10;1
